type,act,sat2400,gpaWeighted,gpaCumulative,satConcorded,resultCode
RD,35,0,4.212,3.9534,0,2
RD,27,2010,3.8983,3.8983,1410,2
RD,28,1930,3.6016,3.6016,1370,2
RD,28,1930,3.6016,3.6016,1370,2
RD,0,2160,3.4275,3.4275,1500,2
RD,0,2230,3.5551,3.5551,1530,1
ED,0,2040,4.1642,4.1642,1430,2
RD,0,1860,3.6894,3.6894,1320,1
RD,0,1970,4.1785,4.1785,1390,1
RD,0,1820,3.6188,3.6188,1300,2
RD,33,2210,4.1483,4.1483,1520,2
RD,0,1430,3.3566,3.3566,1050,2
RD,0,1910,3.7375,3.7375,1350,2
RD,26,1800,4.0238,4.0238,1290,2
RD,26,1800,4.0238,4.0238,1290,2
RD,0,1970,3.8189,3.8189,1390,2
RD,29,1740,4.1554,4.1554,1250,2
RD,0,2280,4.3571,4.3571,1550,1
RD,0,2110,4.2589,4.2589,1470,1
RD,0,1790,3.4818,3.4818,1280,2
RD,0,2200,3.9867,3.9867,1510,2
RD,35,0,4.3164,4.3164,0,2
RD,29,0,3.9544,3.9544,0,2